Trajectories,,Sholder marker,,,upper arm - tri,,,upper arm - bic1,,,upper arm - bic2,,,Elbow marker,,,,,,Wrist -1 marker,,,Wriste -2 marker,,,,,,Finger ,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
35,0,121.552322,-78.729134,933.10791,168.67601,29.994999,812.293335,151.279297,24.61095,887.059448,153.562317,89.73317,851.083801,146.042633,173.695724,807.443176,,,,142.282532,399.570679,782.235352,100.426895,395.31897,824.554382,111.196686,296.070587,842.969543,131.965118,483.369232,840.497864
36,0,121.559776,-78.698708,933.077759,168.735641,29.861729,811.983887,151.337448,24.613827,886.783142,153.676987,89.673645,850.658081,146.19632,173.559006,806.79834,,,,142.32901,399.415344,781.277039,100.515221,395.198212,823.635803,111.359947,295.992249,842.181824,132.026352,483.269073,839.440918
37,0,121.567505,-78.668488,933.047424,168.797607,29.722279,811.667786,151.397583,24.614294,886.500427,153.795044,89.609215,850.222107,146.355286,173.414536,806.138794,,,,142.374954,399.251648,780.2995,100.604317,395.069031,822.699219,111.527092,295.906586,841.376953,132.087402,483.160828,838.364197
38,0,121.575531,-78.638496,933.017029,168.861969,29.576483,811.345154,151.459793,24.612228,886.211304,153.91655,89.53968,849.77594,146.519592,173.262024,805.464722,,,,142.420303,399.079346,779.302612,100.69413,394.931122,821.744751,111.69812,295.813171,840.554932,132.148239,483.044189,837.267578
39,0,121.58387,-78.608742,932.986572,168.928787,29.424181,811.015991,151.524109,24.607512,885.91571,154.041534,89.464859,849.319641,146.689255,173.101227,804.775879,,,,142.465027,398.898224,778.286438,100.784599,394.78418,820.772217,111.873047,295.711823,839.71582,132.208755,482.918823,836.151306
40,0,121.592514,-78.579308,932.956116,168.998032,29.265205,810.680176,151.590576,24.600018,885.613708,154.170013,89.38456,848.852905,146.864349,172.931915,804.072327,,,,142.509048,398.707916,777.25116,100.875687,394.627899,819.781921,112.051872,295.602142,838.859619,132.268906,482.784485,835.015381
41,0,121.601479,-78.550179,932.925598,169.069824,29.099396,810.33783,151.65918,24.589632,885.305115,154.302032,89.298622,848.375916,147.044968,172.753784,803.35376,,,,142.552322,398.508209,776.19696,100.967316,394.461975,818.773804,112.234612,295.483887,837.986084,132.328629,482.640839,833.859985
42,0,121.610771,-78.521408,932.895081,169.14418,28.926584,809.989014,151.729965,24.576223,884.990051,154.437637,89.206818,847.888428,147.23114,172.566574,802.6203,,,,142.594772,398.298889,775.123657,101.059464,394.286194,817.747864,112.421257,295.35672,837.095459,132.387863,482.487549,832.685303
43,0,121.620392,-78.493034,932.864624,169.22113,28.746609,809.633789,151.803009,24.559669,884.668274,154.576843,89.108963,847.390503,147.422928,172.37001,801.871765,,,,142.636353,398.07959,774.031494,101.152069,394.100159,816.704468,112.611809,295.220337,836.187683,132.446533,482.324402,831.491333
44,0,121.630371,-78.465088,932.834167,169.300735,28.559298,809.271973,151.878265,24.539843,884.340027,154.719711,89.004883,846.881958,147.620331,172.163849,801.108154,,,,142.677032,397.850098,772.920593,101.245056,393.903564,815.643494,112.806267,295.074463,835.262634,132.504547,482.15094,830.278503
