Trajectories,,Sholder marker,,,upper arm - tri,,,upper arm - bic1,,,upper arm - bic2,,,Elbow marker,,,,,,Wrist -1 marker,,,Wriste -2 marker,,,,,,Finger ,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
2292,0,97.602882,-118.878899,976.304688,193.215073,-57.495438,831.007019,169.918793,-37.746613,905.789673,203.101761,3.682161,852.109009,233.74469,74.163986,791.227173,,,,133.65712,208.408112,939.892883,106.164001,161.47464,973.171936,163.492523,106.309044,900.554688,130.16687,249.097351,1027.13562
2293,0,97.482155,-118.806267,976.368958,192.951782,-56.423038,831.504761,169.581573,-37.196606,906.413818,202.639465,4.719918,853.048523,233.15065,75.713837,792.607605,,,,133.546967,210.484985,941.078674,105.936501,163.673111,974.378662,163.045624,108.193893,901.878784,130.159958,251.220551,1028.328003
2294,0,97.365082,-118.725716,976.428284,192.684296,-55.351246,831.999451,169.242981,-36.643456,907.030945,202.171646,5.755983,853.980042,232.545105,77.254944,793.977051,,,,133.435837,212.574203,942.232117,105.70623,165.890671,975.557434,162.591873,110.087791,903.185791,130.153427,253.364471,1029.483643
2295,0,97.251656,-118.637268,976.482666,192.412659,-54.280205,832.490845,168.903015,-36.087219,907.640869,201.698456,6.790214,854.903625,231.928177,78.787148,795.335205,,,,133.323883,214.675308,943.353149,105.473412,168.12674,976.708069,162.13147,111.990341,904.475525,130.14743,255.528595,1030.602295
2296,0,97.141838,-118.540924,976.53241,192.136887,-53.210075,832.978943,168.561752,-35.527946,908.243591,201.21994,7.822477,855.81897,231.300034,80.310295,796.681824,,,,133.211334,216.787811,944.441406,105.238327,170.380829,977.8302,161.664642,113.901192,905.74762,130.142059,257.712341,1031.68396
2297,0,97.035637,-118.436707,976.577209,191.85701,-52.14098,833.463501,168.219269,-34.965714,908.838989,200.736267,8.852642,856.725952,230.660782,81.824196,798.016479,,,,133.098358,218.91124,945.496704,105.001198,172.65242,978.923645,161.191589,115.819969,907.001831,130.137497,259.915161,1032.727905
2298,0,96.933029,-118.324631,976.617188,191.573059,-51.073071,833.944336,167.87558,-34.400558,909.426819,200.247528,9.880589,857.624146,230.01059,83.328743,799.33905,,,,132.985153,221.04512,946.51886,104.76226,174.940964,979.988098,160.712509,117.746315,908.237976,130.133881,262.136566,1033.734619
2299,0,96.833984,-118.204697,976.652344,191.285065,-50.00647,834.421204,167.530777,-33.832558,910.007141,199.753815,10.906199,858.513672,229.349564,84.823776,800.649109,,,,132.871933,223.188934,947.50769,104.521782,177.24588,981.023376,160.227692,119.679855,909.455688,130.131317,264.375946,1034.703613
2300,0,96.738457,-118.076935,976.682678,190.993073,-48.941307,834.894104,167.184891,-33.261757,910.579773,199.25528,11.929362,859.394104,228.677933,86.309181,801.946472,,,,132.75885,225.342163,948.463013,104.279991,179.566696,982.029053,159.737335,121.620232,910.654724,130.129959,266.632751,1035.634766
2301,0,96.646461,-117.941376,976.708191,190.697098,-47.877701,835.362915,166.837982,-32.688221,911.144714,198.751968,12.949973,860.265503,227.995804,87.784828,803.230835,,,,132.646133,227.504379,949.384644,104.037132,181.902802,983.005249,159.241653,123.56707,911.834839,130.129929,268.906403,1036.528076
2302,0,96.557922,-117.798035,976.728943,190.397247,-46.815769,835.827271,166.490097,-32.111996,911.701782,198.244064,13.967935,861.127563,227.303345,89.25061,804.501953,,,,132.533936,229.674988,950.272522,103.793465,184.253662,983.951416,158.740891,125.520004,912.995728,130.131378,271.19635,1037.383301
2303,0,96.472832,-117.646957,976.744873,190.093491,-45.755623,836.287292,166.141296,-31.533133,912.250977,197.731659,14.983154,861.980164,226.600739,90.706429,805.759521,,,,132.422485,231.853577,951.126465,103.54921,186.618683,984.867432,158.235291,127.478691,914.137329,130.13443,273.501984,1038.200439
2304,0,96.391136,-117.488167,976.756165,189.785889,-44.697365,836.742676,165.791626,-30.951691,912.792236,197.214844,15.995542,862.82312,225.888138,92.152199,807.003479,,,,132.311935,234.039566,951.946289,103.304626,188.997375,985.753235,157.725113,129.442719,915.259155,130.139221,275.822723,1038.979248
2305,0,96.312813,-117.321693,976.762573,189.474503,-43.641109,837.193359,165.441177,-30.36772,913.325317,196.693756,17.005016,863.656372,225.165741,93.587837,808.233582,,,,132.202499,236.232437,952.732056,103.059929,191.389099,986.608521,157.210541,131.411743,916.361328,130.145828,278.15802,1039.719849
2306,0,96.237816,-117.147583,976.764404,189.159393,-42.586933,837.639221,165.089951,-29.781269,913.850281,196.168564,18.011503,864.479797,224.433701,95.013275,809.449463,,,,132.094345,238.431717,953.483521,102.815384,193.793289,987.433105,156.691864,133.385406,917.44342,130.154449,280.507202,1040.421997
2307,0,96.166092,-116.965874,976.761475,188.840591,-41.534954,838.080078,164.738022,-29.19239,914.367065,195.639313,19.014923,865.293213,223.692261,96.428421,810.651001,,,,131.98764,240.636887,954.200623,102.571213,196.209351,988.226807,156.169327,135.363297,918.50531,130.165146,282.86969,1041.085449
2308,0,96.097618,-116.776604,976.753906,188.518188,-40.485241,838.515747,164.385422,-28.601133,914.87561,195.106186,20.015209,866.096436,222.941544,97.833237,811.837952,,,,131.882584,242.847382,954.88324,102.327637,198.636734,988.989563,155.643143,137.345093,919.546753,130.178085,285.244934,1041.710571
2309,0,96.032318,-116.579826,976.741638,188.192169,-39.437881,838.946289,164.032257,-28.007551,915.375916,194.569275,21.012302,866.889404,222.181808,99.227676,813.010193,,,,131.779297,245.062698,955.531433,102.0849,201.074844,989.721191,155.113541,139.330368,920.567749,130.193329,287.632263,1042.297119
2310,0,95.970184,-116.375587,976.724792,187.862701,-38.392967,839.371399,163.678528,-27.411694,915.867798,194.028702,22.00614,867.672119,221.413223,100.611671,814.167603,,,,131.678009,247.282303,956.144958,101.843216,203.523041,990.421509,154.580795,141.318802,921.567993,130.211014,290.031006,1042.845093
2311,0,95.91114,-116.163925,976.703369,187.529739,-37.350578,839.791077,163.324295,-26.813604,916.351257,193.48465,22.99666,868.444397,220.635986,101.985184,815.309937,,,,131.578873,249.505646,956.72406,101.602791,205.980728,991.090454,154.045181,143.309982,922.547363,130.231201,292.440643,1043.354492
2312,0,95.855141,-115.944908,976.677368,187.19342,-36.310783,840.205139,162.96965,-26.213337,916.826111,192.93721,23.983816,869.205994,219.850311,103.348198,816.437012,,,,131.482025,251.732193,957.268494,101.363861,208.447327,991.727905,153.506866,145.303528,923.505737,130.254028,294.860474,1043.825317
2313,0,95.802132,-115.71859,976.646912,186.85379,-35.273666,840.613464,162.614594,-25.610939,917.292664,192.386505,24.967552,869.957031,219.056458,104.700668,817.548706,,,,131.387619,253.961411,957.778198,101.126602,210.922195,992.33374,152.966125,147.299103,924.442871,130.279572,297.289886,1044.257446
2314,0,95.75206,-115.485016,976.611877,186.510941,-34.239288,841.016052,162.259232,-25.006462,917.750549,191.832703,25.947826,870.697327,218.254562,106.042587,818.644836,,,,131.295822,256.19278,958.253296,100.891251,213.404709,992.907837,152.423218,149.296295,925.358826,130.307907,299.72818,1044.650879
2315,0,95.704872,-115.244263,976.572449,186.164917,-33.207726,841.41272,161.903595,-24.399956,918.19989,191.27594,26.924587,871.426697,217.444916,107.373924,819.725342,,,,131.206772,258.425659,958.693787,100.657967,215.894272,993.450134,151.878387,151.294769,926.253235,130.339111,302.174805,1045.005859
2316,0,95.660515,-114.996376,976.528503,185.815811,-32.179039,841.803345,161.547714,-23.791471,918.640564,190.716309,27.897799,872.145203,216.627716,108.694672,820.789978,,,,131.120575,260.659576,959.099731,100.426964,218.390228,993.960632,151.331818,153.294083,927.126221,130.373276,304.629059,1045.322388
2317,0,95.618927,-114.74144,976.480225,185.463684,-31.153307,842.187866,161.191666,-23.181061,919.072632,190.154022,28.867416,872.8526,215.803192,110.004807,821.838806,,,,131.03743,262.893982,959.471008,100.198418,220.891953,994.439148,150.783768,155.293945,927.977417,130.4104,307.09021,1045.600586
2318,0,95.58004,-114.479515,976.427734,185.108612,-30.130585,842.566223,160.835526,-22.568773,919.495911,189.589172,29.833399,873.549072,214.971588,111.304344,822.871582,,,,130.957413,265.128296,959.807617,99.972496,223.398804,994.885681,150.234467,157.2939,928.806946,130.450607,309.557739,1045.84021
2319,0,95.543808,-114.21067,976.370728,184.750717,-29.110945,842.938232,160.479324,-21.954666,919.910583,189.021881,30.79571,874.234314,214.133118,112.593254,823.888184,,,,130.880661,267.361908,960.109863,99.749397,225.910141,995.300232,149.684128,159.293625,929.614624,130.493942,312.030884,1046.041626
2320,0,95.51017,-113.93499,976.30957,184.390076,-28.094448,843.303894,160.123093,-21.338797,920.316528,188.452362,31.754314,874.908386,213.288055,113.871567,824.88855,,,,130.807251,269.59436,960.377686,99.529266,228.425323,995.682678,149.133026,161.292709,930.400269,130.540436,314.508942,1046.204834
2321,0,95.479057,-113.652542,976.244263,184.026749,-27.081163,843.663208,159.766922,-20.721214,920.713745,187.880692,32.709175,875.571045,212.436615,115.139267,825.87262,,,,130.737335,271.825012,960.611023,99.312286,230.943695,996.033081,148.581375,163.290771,931.163818,130.590103,316.991394,1046.329834
2322,0,95.450401,-113.363403,976.174683,183.660828,-26.071154,844.015808,159.410858,-20.101978,921.102112,187.307053,33.660248,876.222473,211.579071,116.396355,826.840149,,,,130.67099,274.053406,960.810242,99.098602,233.4646,996.351379,148.029343,165.28743,931.905273,130.64299,319.477448,1046.41687
2323,0,95.424149,-113.067657,976.100952,183.292435,-25.064489,844.361816,159.054962,-19.481148,921.481689,186.731613,34.607506,876.862549,210.715652,117.642845,827.791321,,,,130.608322,276.278839,960.975159,98.888382,235.987411,996.637573,147.477203,167.282349,932.624512,130.699158,321.966461,1046.465942
2324,0,95.400223,-112.765396,976.023193,182.921631,-24.061235,844.701233,158.699295,-18.858786,921.852539,186.154449,35.550915,877.491089,209.846619,118.878746,828.725952,,,,130.549393,278.500854,961.106018,98.681755,238.511444,996.891663,146.925186,169.27507,933.321472,130.758606,324.457764,1046.477417
2325,0,95.378571,-112.456703,975.941406,182.548553,-23.06147,845.033691,158.343872,-18.234949,922.214478,185.57579,36.490437,878.108215,208.972229,120.10405,829.643921,,,,130.494263,280.718872,961.202881,98.478851,241.036041,997.113708,146.373474,171.265289,933.996033,130.821335,326.950714,1046.451172
2326,0,95.3591,-112.14167,975.855591,182.173248,-22.06526,845.359497,157.988754,-17.609703,922.567749,184.995743,37.426037,878.713806,208.092728,121.318794,830.545105,,,,130.443069,282.932281,961.26593,98.279831,243.560562,997.303772,145.822296,173.252548,934.648132,130.887344,329.444641,1046.387573
2327,0,95.341789,-111.820381,975.765747,181.795868,-21.072685,845.678345,157.634033,-16.98311,922.912109,184.414444,38.35767,879.307739,207.208405,122.522964,831.429688,,,,130.395798,285.140564,961.295227,98.084808,246.084351,997.461731,145.271881,175.236526,935.277893,130.95665,331.938843,1046.286499
2328,0,95.32653,-111.49295,975.67218,181.416473,-20.083822,845.990295,157.279739,-16.355238,923.247559,183.832077,39.285313,879.890076,206.319504,123.716568,832.297302,,,,130.352554,287.34317,961.291077,97.893875,248.60672,997.58783,144.722412,177.216797,935.88501,131.029282,334.432617,1046.148438
2329,0,95.313263,-111.159462,975.574646,181.035172,-19.098749,846.295105,156.925934,-15.726156,923.574341,183.248795,40.20892,880.460754,205.426285,124.899651,833.148193,,,,130.313385,289.539581,961.253479,97.707153,251.127029,997.681946,144.174133,179.193024,936.469604,131.105133,336.925354,1045.973145
2330,0,95.301933,-110.820007,975.473328,180.6521,-18.117546,846.593018,156.572632,-15.095929,923.892273,182.664719,41.12846,881.019714,204.529053,126.072182,833.982178,,,,130.278305,291.729126,961.182678,97.524742,253.644638,997.744324,143.627213,181.16478,937.031616,131.18428,339.416351,1045.761353
2331,0,95.292458,-110.474731,975.368347,180.267334,-17.140291,846.883728,156.21991,-14.464634,924.201294,182.080032,42.043896,881.566956,203.628036,127.234192,834.799194,,,,130.247391,293.911316,961.078796,97.346733,256.158844,997.774963,143.081863,183.131744,937.570984,131.266647,341.904999,1045.513062
2332,0,95.284775,-110.123703,975.259583,179.880981,-16.167067,847.167236,155.867844,-13.832341,924.501587,181.494843,42.955177,882.102356,202.723511,128.385712,835.599304,,,,130.220642,296.085602,960.9422,97.17321,258.669006,997.773865,142.538284,185.09346,938.087708,131.352249,344.390472,1045.228271
2333,0,95.278816,-109.767052,975.147217,179.493164,-15.197958,847.443665,155.516464,-13.199126,924.79303,180.909348,43.862278,882.626099,201.815735,129.526688,836.382385,,,,130.19809,298.251434,960.772888,97.004242,261.174469,997.741272,141.996658,187.049606,938.581787,131.440979,346.872284,1044.907471
2334,0,95.274498,-109.404884,975.031372,179.103973,-14.233046,847.712769,155.165802,-12.565067,925.075623,180.323685,44.765156,883.138062,200.905045,130.657196,837.148499,,,,130.179764,300.408203,960.571228,96.839905,263.674622,997.677185,141.457153,188.999802,939.05304,131.532867,349.349609,1044.550659
2335,0,95.27179,-109.0373,974.911865,178.713531,-13.272417,847.974548,154.815964,-11.930243,925.349487,179.738007,45.663761,883.638123,199.991653,131.777206,837.897522,,,,130.165665,302.555542,960.33728,96.68026,266.168732,997.581909,140.919998,190.943665,939.50177,131.627823,351.82193,1044.158447
2336,0,95.270584,-108.664459,974.788879,178.321945,-12.316157,848.229004,154.466934,-11.294736,925.614502,179.152451,46.558064,884.126404,199.075882,132.886749,838.629578,,,,130.155823,304.692749,960.071472,96.525368,268.656219,997.455322,140.385361,192.880798,939.927673,131.72583,354.288483,1043.730713
2337,0,95.270836,-108.286438,974.662598,177.929306,-11.364357,848.476074,154.118774,-10.658627,925.870789,178.567154,47.448013,884.602966,198.157944,133.98584,839.344543,,,,130.150162,306.819336,959.773926,96.37529,271.136475,997.297791,139.853363,194.810867,940.330994,131.826828,356.748657,1043.268066
2338,0,95.272461,-107.903397,974.532837,177.535767,-10.417107,848.715637,153.771576,-10.022001,926.118225,177.982315,48.333565,885.067505,197.23819,135.074432,840.042542,,,,130.148758,308.934845,959.444885,96.230049,273.608704,997.109314,139.324203,196.73349,940.711548,131.930771,359.201843,1042.770508
2339,0,95.275406,-107.51545,974.39978,177.141418,-9.474499,848.947937,153.425385,-9.384946,926.357056,177.398056,49.214684,885.520325,196.316849,136.152588,840.72345,,,,130.151535,311.038696,959.084717,96.089706,276.072449,996.890198,138.798065,198.64827,941.069397,132.037552,361.647369,1042.238647
2340,0,95.279594,-107.122719,974.26355,176.746368,-8.53663,849.172668,153.080215,-8.747552,926.587036,176.814499,50.091316,885.961365,195.394211,137.220276,841.387268,,,,130.158493,313.130402,958.693604,95.954269,278.526947,996.640564,138.275055,200.554886,941.404724,132.147141,364.084564,1041.672485
2341,0,95.284981,-106.725342,974.124146,176.350708,-7.603593,849.389893,152.73613,-8.109907,926.80835,176.231812,50.963417,886.390442,194.470551,138.277512,842.034058,,,,130.169601,315.209442,958.272034,95.823769,280.971649,996.360596,137.755402,202.452972,941.717407,132.25946,366.512878,1041.07251
2342,0,95.291481,-106.323441,973.981567,175.954575,-6.675487,849.59967,152.393158,-7.472104,927.020996,175.650177,51.830936,886.807739,193.546158,139.324326,842.663818,,,,130.18483,317.27536,957.820068,95.698227,283.405914,996.050476,137.239166,204.342133,942.007507,132.37439,368.93158,1040.438843
2343,0,95.299026,-105.917183,973.835876,175.558105,-5.752408,849.801758,152.051407,-6.834237,927.224915,175.069687,52.693821,887.213257,192.621307,140.360672,843.276428,,,,130.204147,319.327637,957.338013,95.577652,285.829132,995.71051,136.726562,206.222031,942.275024,132.491928,371.340149,1039.771973
2344,0,95.307571,-105.506691,973.687195,175.161362,-4.834457,849.99646,151.710861,-6.196403,927.420288,174.490509,53.552025,887.606934,191.696243,141.386551,843.872253,,,,130.227448,321.365784,956.826477,95.462021,288.240662,995.340942,136.217651,208.092316,942.520142,132.611938,373.737976,1039.072388
2345,0,95.317047,-105.09211,973.535583,174.76445,-3.921735,850.183411,151.371613,-5.5587,927.606995,173.912811,54.405487,887.98877,190.771271,142.402008,844.450867,,,,130.254745,323.389282,956.285583,95.351349,290.639954,994.941895,135.712646,209.952637,942.742737,132.734344,376.12442,1038.340332
2346,0,95.327393,-104.673584,973.381104,174.367554,-3.014344,850.362915,151.033722,-4.921226,927.785095,173.336685,55.254169,888.358887,189.846664,143.406998,845.012695,,,,130.28595,325.397797,955.715576,95.245598,293.026428,994.513672,135.211624,211.802612,942.943115,132.859055,378.49881,1037.576172
2347,0,95.338531,-104.251274,973.223755,173.970703,-2.112386,850.53479,150.697174,-4.284083,927.95459,172.762268,56.097996,888.717102,188.922668,144.40155,845.557434,,,,130.321014,327.390686,955.117126,95.144768,295.399414,994.056702,134.714691,213.641937,943.121094,132.985962,380.860718,1036.780396
2348,0,95.35041,-103.825317,973.063721,173.574051,-1.215966,850.698975,150.362076,-3.647377,928.115662,172.189743,56.936913,889.063721,187.999588,145.38562,846.085449,,,,130.359848,329.367645,954.490295,95.048805,297.758392,993.571045,134.22197,215.470291,943.276855,133.114975,383.209412,1035.953003
2349,0,95.362976,-103.395866,972.90094,173.177673,-0.325189,850.85553,150.028442,-3.01121,928.26825,171.619202,57.770866,889.398499,187.077698,146.359253,846.596436,,,,130.40239,331.328186,953.835632,94.957687,300.102844,993.057129,133.733582,217.287262,943.410583,133.245987,385.544403,1035.094849
2350,0,95.376152,-102.963089,972.735596,172.781738,0.559841,851.004395,149.69632,-2.375689,928.412292,171.050797,58.599789,889.721558,186.157272,147.322403,847.090576,,,,130.448547,333.27179,953.153442,94.871361,302.432098,992.515137,133.249619,219.092545,943.522217,133.378891,387.865051,1034.206299
2351,0,95.389893,-102.527145,972.567627,172.386292,1.439018,851.145752,149.365799,-1.740923,928.547974,170.48468,59.423622,890.03302,185.238556,148.275055,847.568054,,,,130.498245,335.198151,952.444153,94.789764,304.745636,991.945435,132.770187,220.885834,943.611877,133.51358,390.170837,1033.287598
2352,0,95.404144,-102.088181,972.397278,171.99147,2.312234,851.279297,149.036865,-1.107022,928.675293,169.920929,60.24229,890.332764,184.321823,149.217239,848.028687,,,,130.551407,337.106781,951.70813,94.71286,307.042999,991.348389,132.295319,222.666748,943.679688,133.649948,392.461273,1032.339355
2353,0,95.418831,-101.646385,972.224487,171.597366,3.179381,851.405334,148.70961,-0.474097,928.794189,169.35968,61.05574,890.620789,183.407333,150.148895,848.472595,,,,130.607925,338.997345,950.945862,94.640579,309.323547,990.724182,131.825134,224.435013,943.72583,133.787827,394.735657,1031.361816
2354,0,95.433922,-101.201889,972.049377,171.204056,4.040349,851.52356,148.384064,0.157739,928.904968,168.801102,61.863888,890.897217,182.495392,151.070038,848.899841,,,,130.667694,340.869324,950.157654,94.572853,311.586792,990.073364,131.359726,226.190277,943.750244,133.92717,396.993622,1030.355835
2355,0,95.449326,-100.754898,971.871948,170.811707,4.895025,851.634216,148.060257,0.78837,929.007324,168.24527,62.666668,891.162048,181.586243,151.980652,849.310486,,,,130.730621,342.722473,949.344055,94.509598,313.832214,989.39624,130.899139,227.932236,943.753235,134.06781,399.234497,1029.321411
2356,0,95.465034,-100.305565,971.692505,170.42038,5.743296,851.737122,147.738266,1.417679,929.101562,167.692352,63.464008,891.415222,180.680145,152.880707,849.704468,,,,130.7966,344.556335,948.505432,94.450745,316.059387,988.693054,130.443436,229.660568,943.734802,134.209625,401.457855,1028.259399
2357,0,95.480949,-99.854057,971.510864,170.030182,6.585048,851.83252,147.418091,2.045547,929.187744,167.142426,64.255836,891.656921,179.777374,153.770203,850.081909,,,,130.865494,346.370544,947.642334,94.396179,318.267639,987.964233,129.992691,231.374954,943.69519,134.352478,403.663116,1027.170044
2358,0,95.49704,-99.400566,971.327332,169.641174,7.420164,851.920166,147.099792,2.671854,929.265747,166.595627,65.042046,891.887146,178.878204,154.649094,850.442932,,,,130.937241,348.164764,946.755005,94.345856,320.456665,987.210144,129.546936,233.075104,943.634399,134.496231,405.849884,1026.054199
2359,0,95.51326,-98.945244,971.141846,169.25351,8.248528,852.000244,146.783432,3.296478,929.335632,166.052048,65.822594,892.105835,177.982849,155.517365,850.787598,,,,131.011658,349.93869,945.844116,94.299637,322.625885,986.431152,129.106247,234.760696,943.552673,134.640747,408.017548,1024.911865
2360,0,95.529549,-98.488297,970.954468,168.867279,9.070021,852.072632,146.469009,3.919293,929.397705,165.511826,66.597389,892.312988,177.091644,156.374985,851.115845,,,,131.088684,351.691864,944.909973,94.257431,324.774841,985.627686,128.670654,236.431458,943.450073,134.785919,410.16568,1023.743958
2361,0,95.54586,-98.029877,970.765381,168.482544,9.884524,852.137573,146.156616,4.540173,929.451843,164.975067,67.366325,892.50885,176.204773,157.221939,851.427734,,,,131.168167,353.424133,943.953186,94.219124,326.903107,984.800232,128.240189,238.087067,943.326965,134.93158,412.293823,1022.550964
2362,0,95.562141,-97.57019,970.574646,168.099411,10.691914,852.194763,145.846237,5.158989,929.498047,164.441864,68.129326,892.693359,175.322525,158.058212,851.723389,,,,131.25,355.13501,942.974121,94.184624,329.010223,983.949036,127.814857,239.72728,943.183228,135.077576,414.401428,1021.333191
2363,0,95.578354,-97.109398,970.382324,167.717972,11.492071,852.244507,145.537949,5.775611,929.536499,163.912338,68.886299,892.866516,174.445129,158.883713,852.002808,,,,131.334,356.824341,941.973389,94.153801,331.095764,983.074585,127.394753,241.351746,943.019226,135.223785,416.488159,1020.091431
2364,0,95.594437,-96.647713,970.188477,167.338364,12.284868,852.286682,145.23175,6.389906,929.5672,163.386597,69.637161,893.028381,173.572861,159.698441,852.265991,,,,131.42009,358.49173,940.951355,94.126526,333.159271,982.177368,126.979828,242.96022,942.835022,135.370056,418.553558,1018.826111
2365,0,95.610359,-96.185295,969.993408,166.960617,13.070183,852.321411,144.927734,7.001738,929.590332,162.864731,70.381813,893.178955,172.705917,160.50238,852.513245,,,,131.508133,360.136932,939.908508,94.102692,335.200348,981.25769,126.570152,244.552414,942.630737,135.51622,420.597137,1017.537842
2366,0,95.626068,-95.722359,969.796936,166.584839,13.847886,852.348694,144.625916,7.61097,929.605835,162.346832,71.120155,893.31842,171.84462,161.295441,852.744324,,,,131.597931,361.759644,938.845459,94.082153,337.218597,980.316101,126.165703,246.128067,942.406799,135.66217,422.618439,1016.227112
2367,0,95.641541,-95.259087,969.599426,166.211105,14.617851,852.36853,144.326324,8.217463,929.613831,161.833008,71.852089,893.446594,170.98912,162.077621,852.959534,,,,131.689407,363.35965,937.762634,94.064796,339.213593,979.352966,125.766518,247.686874,942.163086,135.807693,424.617157,1014.894592
2368,0,95.656708,-94.795662,969.400757,165.839523,15.379949,852.38092,144.029037,8.821074,929.61438,161.323334,72.577499,893.563782,170.139725,162.848862,853.158691,,,,131.78241,364.936676,936.660522,94.050476,341.184967,978.368774,125.372559,249.228592,941.900085,135.952713,426.592865,1013.540894
2369,0,95.671539,-94.332275,969.201111,165.470184,16.134048,852.385986,143.734039,9.421658,929.607483,160.817932,73.296288,893.669983,169.296646,163.609085,853.342041,,,,131.876785,366.490509,935.539734,94.039047,343.132416,977.363953,124.983879,250.752991,941.617737,136.097015,428.545135,1012.16626
2370,0,95.686012,-93.869141,969.000549,165.103119,16.880013,852.38385,143.441376,10.019071,929.593384,160.316879,74.008347,893.765076,168.460098,164.358307,853.509583,,,,131.972351,368.020905,934.400635,94.03038,345.05542,976.338989,124.600449,252.259735,941.316284,136.240463,430.473633,1010.771729
2371,0,95.700073,-93.406441,968.799377,164.73848,17.617714,852.374451,143.151138,10.61316,929.57196,159.820282,74.713562,893.849304,167.630325,165.09642,853.661377,,,,132.069,369.527649,933.243896,94.024323,346.953796,975.294312,124.22226,253.748596,940.995972,136.382919,432.37796,1009.357666
2372,0,95.713692,-92.944351,968.597412,164.376266,18.347012,852.357727,142.863327,11.203779,929.543518,159.328232,75.411827,893.922546,166.807541,165.823364,853.797424,,,,132.166565,371.010468,932.069885,94.020721,348.827087,974.230469,123.849319,255.219345,940.657104,136.524216,434.257782,1007.924683
2373,0,95.726822,-92.483101,968.394958,164.016632,19.067772,852.333984,142.578003,11.790772,929.507996,158.84079,76.10302,893.985107,165.991959,166.539124,853.917908,,,,132.264923,372.469238,930.87915,94.01944,350.675079,973.147888,123.48159,256.671722,940.299744,136.66423,436.112732,1006.473328
2374,0,95.739464,-92.022865,968.191956,163.659637,19.779852,852.303101,142.295212,12.373988,929.465393,158.358078,76.787018,894.036743,165.183823,167.243607,854.022766,,,,132.363892,373.903748,929.672424,94.020325,352.497314,972.047058,123.119087,258.10553,939.924133,136.80275,437.942474,1005.004272
2375,0,95.751556,-91.56385,967.988708,163.305328,20.483114,852.265137,142.014999,12.953272,929.416016,157.880173,77.463699,894.077698,164.383316,167.936752,854.112061,,,,132.463303,375.313843,928.449951,94.023201,354.293518,970.928406,122.761772,259.520447,939.530457,136.939636,439.746735,1003.518127
2376,0,95.763077,-91.106232,967.785156,162.953812,21.177414,852.220154,141.737366,13.528469,929.359741,157.40715,78.132957,894.108032,163.590668,168.618546,854.185974,,,,132.563034,376.699371,927.212341,94.027931,356.063477,969.792603,122.40963,260.91629,939.118958,137.074707,441.525146,1002.015442
2377,0,95.774017,-90.650215,967.581543,162.605148,21.862612,852.168335,141.462402,14.099419,929.296692,156.939087,78.79464,894.127808,162.806061,169.288864,854.244446,,,,132.662903,378.060089,925.960266,94.034348,357.806854,968.639893,122.06263,262.292847,938.689941,137.20787,443.277435,1000.497009
2378,0,95.784332,-90.196014,967.377991,162.25946,22.538559,852.109558,141.190125,14.66597,929.22699,156.476105,79.448654,894.136963,162.029724,169.947647,854.287659,,,,132.762772,379.395966,924.694092,94.04229,359.523376,967.471069,121.720764,263.649841,938.24353,137.338913,445.003357,998.963257
2379,0,95.793999,-89.743782,967.174377,161.916779,23.205111,852.043945,140.920593,15.22796,929.150696,156.018265,80.094849,894.135681,161.261856,170.594879,854.315552,,,,132.862488,380.706787,923.414368,94.051598,361.212799,966.286377,121.383987,264.987183,937.779968,137.467651,446.702576,997.414856
2380,0,95.803017,-89.293739,966.971008,161.577209,23.862125,851.971619,140.653839,15.785234,929.067932,155.565659,80.733116,894.123962,160.502625,171.230484,854.328247,,,,132.961853,381.992462,922.121704,94.062111,362.874817,965.086426,121.052269,266.304504,937.2995,137.593994,448.374847,995.852478
2381,0,95.811348,-88.846062,966.767883,161.240829,24.509449,851.892578,140.389908,16.337633,928.978699,155.118378,81.363297,894.101868,159.752258,171.854355,854.325806,,,,133.060776,383.252869,920.816528,94.073685,364.509216,963.871765,120.725601,267.601654,936.802246,137.717758,450.019897,994.276672
2382,0,95.818985,-88.400955,966.565247,160.907715,25.14694,851.807007,140.12883,16.885004,928.882996,154.676483,81.985298,894.069458,159.01091,172.466476,854.308289,,,,133.159012,384.487885,919.499451,94.086128,366.115814,962.642761,120.403931,268.878479,936.288696,137.83873,451.637512,992.688232
2383,0,95.825905,-87.95858,966.363098,160.577988,25.774456,851.714783,139.870667,17.427189,928.781128,154.240051,82.598961,894.026794,158.278809,173.066742,854.275818,,,,133.256485,385.697479,918.170959,94.099281,367.694275,961.400208,120.087212,270.134766,935.758911,137.956833,453.227417,991.087585
